ISSN,Título,Estrato
2190-4286,BEILSTEIN JOURNAL OF NANOTECHNOLOGY,A2
1860-5397,BEILSTEIN JOURNAL OF ORGANIC CHEMISTRY,A3
1876-2883,BENEFICIAL MICROBES,A2
2712-0082,BIO INTEGRATION,A2
2452-199X,BIOACTIVE MATERIALS,A1
1757-6180,BIOANALYSIS (PRINT),A3
1878-8181,BIOCATALYSIS AND AGRICULTURAL BIOTECHNOLOGY,A1
1024-2422,BIOCATALYSIS AND BIOTRANSFORMATION (PRINT),A4
1667-5746,BIOCELL,B2
0327-9545,BIOCELL (MENDOZA),B2
0006-291X,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT),A3
1369-703X,BIOCHEMICAL ENGINEERING JOURNAL,A2
0006-2952,BIOCHEMICAL PHARMACOLOGY,A1
0300-5127,BIOCHEMICAL SOCIETY TRANSACTIONS,A2
2405-5808,BIOCHEMISTRY AND BIOPHYSICS REPORTS,A4
1388-1981,BIOCHIMICA AND BIOPHYSICA ACTA. MOLECULAR AND CELL BIOLOGY OF LIPIDS,A1
0005-2736,BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES,A1
0304-4165,"BIOCHIMICA ET BIOPHYSICA ACTA. G, GENERAL SUBJECTS (PRINT)",A2
0925-4439,BIOCHIMICA ET BIOPHYSICA ACTA. MOLECULAR BASIS OF DISEASE,A1
1570-9639,BIOCHIMICA ET BIOPHYSICA ACTA. PROTEINS AND PROTEOMICS,A2
1948-5573,BIODEMOGRAPHY AND SOCIAL BIOLOGY (ONLINE),A3
2522-8552,BIO-DESIGN AND MANUFACTURING,A1
2236-2886,BIODIVERSIDADE BRASILEIRA,B4
1567-5394,BIOELECTROCHEMISTRY (AMSTERDAM),A1
0197-8462,BIOELECTROMAGNETICS,A3
2306-5354,BIOENGINEERING,B1
1983-4209,BIOFAR: REVISTA DE BIOLOGIA E FARMÁCIA,C
0892-7014,BIOFOULING (NEW YORK. PRINT),A1
1389-5729,BIOGERONTOLOGY (DORDRECHT),A1
2069-5837,BIOINTERFACE RESEARCH IN APPLIED CHEMISTRY,C
1559-4106,BIOINTERPHASES,A3
1934-8630,BIOINTERPHASES,A3
0929-1016,BIOLOGICAL RHYTHM RESEARCH,A4
0163-4984,BIOLOGICAL TRACE ELEMENT RESEARCH,A1
1559-0720,BIOLOGICAL TRACE ELEMENT RESEARCH (ONLINE),A1
2079-7737,BIOLOGY,A2
2396-8923,BIOLOGY METHODS AND PROTOCOLS,A3
1525-7797,BIOMACROMOLECULES,A1
2190-6815,BIOMASS CONVERSION AND BIOREFINERY,A3
2641-5275,BIOMATERIAL INVESTIGATIONS IN DENTISTRY,B3
2772-9508,BIOMATERIALS ADVANCES,A1
3006-9076,BIOMATERIALS CONNECT (ONLINE),C
2047-4849,BIOMATERIALS SCIENCE,A1
2314-6141,BIOMED RESEARCH INTERNATIONAL,A2
2314-6133,BIOMED RESEARCH INTERNATIONAL,A2
0006-3398,BIOMEDICAL ENGINEERING,B2
2574-1241,BIOMEDICAL JOURNAL OF SCIENTIFIC & TECHNICAL RESEARCH,C
2731-4820,BIOMEDICAL MATERIALS & DEVICES,B3
1748-605X,BIOMEDICAL MATERIALS (BMM),A3
1748-6041,BIOMEDICAL MATERIALS (BRISTOL. PRINT),A3
2057-1976,BIOMEDICAL PHYSICS & ENGINEERING EXPRESS,B1
0970-938X,BIOMEDICAL RESEARCH (ALIGARH),B1
0753-3322,BIOMEDICINE & PHARMACOTHERAPY,A1
1950-6007,BIOMEDICINE & PHARMACOTHERAPY (ONLINE),A1
2227-9059,BIOMEDICINES,A2
0013-5585,BIOMEDIZINISCHE TECHNIK (BERLIN. ZEITSCHRIFT),B1
2313-7673,BIOMIMETICS,A4
2218-273X,BIOMOLECULES,A2
2191-1630,BIONANOSCIENCE,A4
2405-8866,BIOPRINTING,A1
0960-8524,BIORESOURCE TECHNOLOGY,A1
2692-8205,BIORXIV,C
1981-3163,BIOSCIENCE JOURNAL (ONLINE),B2
1516-3725,BIOSCIENCE JOURNAL (UFU. IMPRESSO),B2
2673-6284,BIOTECH,B2
1052-0295,BIOTECHNIC & HISTOCHEMISTRY,A3
0006-3592,BIOTECHNOLOGY AND BIOENGINEERING (PRINT),A2
0141-5492,BIOTECHNOLOGY LETTERS,A4
2352-5738,BIOTRIBOLOGY,A4
2472-1727,BIRTH DEFECTS RESEARCH,A3
1365-2125,BJCP. BRITISH JOURNAL OF CLINICAL PHARMACOLOGY (ONLINE),A2
2473-9529,BLOOD ADVANCES,A1
0957-5235,BLOOD COAGULATION & FIBRINOLYSIS,B2
1473-5733,BLOOD COAGULATION & FIBRINOLYSIS (ONLINE),B2
1651-1999,BLOOD PRESSURE (ONLINE),A4
1471-2105,BMC BIOINFORMATICS,A1
1741-7007,BMC BIOLOGY,A1
1471-2407,BMC CANCER (ONLINE),A3
2662-7671,BMC COMPLEMENTARY MEDICINE AND THERAPIES,A2
1471-230X,BMC GASTROENTEROLOGY (ONLINE),A4
1471-2164,BMC GENOMICS,A3
1471-2318,BMC GERIATRICS (ONLINE),A1
1472-6963,BMC HEALTH SERVICES RESEARCH (ONLINE),A1
1471-2334,BMC INFECTIOUS DISEASES (ONLINE),A3
1472-6920,BMC MEDICAL EDUCATION (ONLINE),A2
1472-6939,BMC MEDICAL ETHICS (ONLINE),A1
1471-2342,BMC MEDICAL IMAGING (ONLINE),A3
1471-2288,BMC MEDICAL RESEARCH METHODOLOGY (ONLINE),A1
1741-7015,BMC MEDICINE,A1
1471-2180,BMC MICROBIOLOGY (ONLINE),A3
2661-8850,BMC MOLECULAR AND CELL BIOLOGY,B1
1471-2474,BMC MUSCULOSKELETAL DISORDERS (ONLINE),A3
1472-6955,BMC NURSING,A1
1472-6831,BMC ORAL HEALTH (ONLINE),A2
1471-2431,BMC PEDIATRICS (ONLINE),A1
1471-2393,BMC PREGNANCY AND CHILDBIRTH (ONLINE),A1
